Journal name,JCR Abbreviation,ISSN,eISSN,Category,2021 JIF
Nature Ecology & Evolution,NAT ECOL EVOL,2397-334X,2397-334X,ECOLOGY - SCIE; EVOLUTIONARY BIOLOGY - SCIE,19.1
Nano Today,NANO TODAY,1748-0132,1878-044X,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",18.962
ACS Central Science,ACS CENTRAL SCI,2374-7943,2374-7951,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",18.728
NATURE STRUCTURAL & MOLECULAR BIOLOGY,NAT STRUCT MOL BIOL,1545-9993,1545-9985,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; CELL BIOLOGY - SCIE,18.361
TRENDS IN MICROBIOLOGY,TRENDS MICROBIOL,0966-842X,1878-4380,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; MICROBIOLOGY - SCIE,18.23
ACS Nano,ACS NANO,1936-0851,1936-086X,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",18.027
GENOME BIOLOGY,GENOME BIOL,1474-760X,1474-760X,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE,18.01
Annual Review of Environment and Resources,ANNU REV ENV RESOUR,1543-5938,1545-2050,ENVIRONMENTAL SCIENCES - SCIE; ENVIRONMENTAL STUDIES - SSCI,17.909
Nature Communications,NAT COMMUN,N/A,2041-1723,MULTIDISCIPLINARY SCIENCES - SCIE,17.694
BIOTECHNOLOGY ADVANCES,BIOTECHNOL ADV,0734-9750,1873-1899,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE,17.681
CYTOKINE & GROWTH FACTOR REVIEWS,CYTOKINE GROWTH F R,1359-6101,1879-0305,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; CELL BIOLOGY - SCIE,17.66
JOURNAL OF EXPERIMENTAL MEDICINE,J EXP MED,0022-1007,1540-9538,IMMUNOLOGY - SCIE,17.579
Advanced Science,ADV SCI,N/A,2198-3844,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",17.521
AUTOIMMUNITY REVIEWS,AUTOIMMUN REV,1568-9972,1873-0183,IMMUNOLOGY - SCIE,17.39
Journal of Extracellular Vesicles,J EXTRACELL VESICLES,N/A,2001-3078,CELL BIOLOGY - SCIE,17.337
Cell Reports Medicine,CELL REP MED,2666-3791,2666-3791,CELL BIOLOGY - SCIE,16.988
Bioactive Materials,BIOACT MATER,N/A,2452-199X,"MATERIALS SCIENCE, BIOMATERIALS - SCIE",16.874
Microbiome,MICROBIOME,2049-2618,2049-2618,MICROBIOLOGY - SCIE,16.837
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,ANGEW CHEM INT EDIT,1433-7851,1521-3773,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",16.823
Annual Review of Marine Science,ANNU REV MAR SCI,1941-1405,1941-0611,MARINE & FRESHWATER BIOLOGY - SCIE; OCEANOGRAPHY - SCIE,16.561
